timeStamp,elapsed,label,responseMessage
1354360653525,388,listCategories,OK
1354360653425,488,listCategories,OK
1354360653626,286,listCategories,OK
1354360695033,22,listCategories,OK
1354360695059,61,listMovieByCategory,OK
1354360695123,10,viewCart,OK
1354360695132,5,listCategories,OK
1354360695141,49,listMovieByCategory,OK
1354360695194,5,viewCart,OK
1354360695232,5,listCategories,OK
1354360695240,51,listMovieByCategory,OK
1354360695295,9,viewCart,OK
1354360695331,5,listCategories,OK
1354360695341,70,listMovieByCategory,OK
1354360695416,7,viewCart,OK
1354360695433,5,listCategories,OK
1354360695442,85,listMovieByCategory,OK
1354360695532,12,viewCart,OK
1354360695534,13,listCategories,OK
1354360695635,27,listCategories,OK
1354360695551,119,listMovieByCategory,OK
1354360695666,65,listMovieByCategory,OK
1354360695735,19,listCategories,OK
1354360695752,9,viewCart,OK
1354360695676,69,viewCart,OK
1354360695836,21,listCategories,OK
1354360695759,99,listMovieByCategory,OK
1354360695864,32,viewCart,OK
1354360695861,50,listMovieByCategory,OK
1354360695916,87,viewCart,OK
1354360695985,122,listCategories,OK
1354360696120,111,listMovieByCategory,OK
1354360696236,7,viewCart,OK
1354360696246,4126,searchMovie,OK
1354360700379,281,searchUser,OK
1354360700667,10,signInUser,OK
1354360700679,5,listCategories,OK
1354360700688,110,listMovieByCategory,OK
1354360700807,16,viewCart,OK
1354360695136,6205,searchMovie,OK
1354360701361,121,searchUser,OK
1354360701488,17,signInUser,OK
1354360701507,5,listCategories,OK
1354360701516,37,listMovieByCategory,OK
1354360701559,27,viewCart,OK
1354360695547,6128,searchMovie,OK
1354360701682,66,searchUser,OK
1354360701755,17,signInUser,OK
1354360701775,6,listCategories,OK
1354360701785,22,listMovieByCategory,OK
1354360701813,140,viewCart,OK
1354360695764,6329,searchMovie,OK
1354360696005,6125,searchMovie,OK
1354360702100,119,searchUser,OK
1354360702171,80,searchUser,OK
1354360702233,33,signInUser,OK
1354360702260,9,signInUser,OK
1354360702268,7,listCategories,OK
1354360702278,9,listCategories,OK
1354360695815,6510,searchMovie,OK
1354360702282,43,listMovieByCategory,OK
1354360702329,86,listMovieByCategory,OK
1354360702420,6,viewCart,OK
1354360702333,185,viewCart,OK
1354360695201,7323,searchMovie,OK
1354360702531,30,searchUser,OK
1354360702332,219,searchUser,OK
1354360702568,22,signInUser,OK
1354360702570,16,signInUser,OK
1354360702596,6,listCategories,OK
1354360702598,6,listCategories,OK
1354360702609,21,listMovieByCategory,OK
1354360702606,37,listMovieByCategory,OK
1354360702649,5,viewCart,OK
1354360702636,25,viewCart,OK
1354360695426,7416,searchMovie,OK
1354360702848,66,searchUser,OK
1354360702952,48,signInUser,OK
1354360703003,4,listCategories,OK
1354360703011,44,listMovieByCategory,OK
1354360703061,30,viewCart,OK
1354360695306,9259,searchMovie,OK
1354360704586,38,searchUser,OK
1354360704631,15,signInUser,OK
1354360704648,5,listCategories,OK
1354360704659,113,listMovieByCategory,OK
1354360704780,15,viewCart,OK
1354360695911,9194,searchMovie,OK
1354360705112,40,searchUser,OK
1354360705159,24,signInUser,OK
1354360705189,6,listCategories,OK
1354360705251,29,listMovieByCategory,OK
1354360705287,16,viewCart,OK
1354360700825,5481,searchMovie,OK
1354360706325,156,searchUser,OK
1354360706487,16,signInUser,OK
1354360706505,5,listCategories,OK
1354360706524,40,listMovieByCategory,OK
1354360706609,45,viewCart,OK
1354360702524,5950,searchMovie,OK
1354360708479,91,searchUser,OK
1354360708613,50,signInUser,OK
1354360708666,4,listCategories,OK
1354360708674,27,listMovieByCategory,OK
1354360708720,21,viewCart,OK
1354360703095,5890,searchMovie,OK
1354360709001,34,searchUser,OK
1354360709057,17,signInUser,OK
1354360709076,5,listCategories,OK
1354360701956,7154,searchMovie,OK
1354360709085,26,listMovieByCategory,OK
1354360709116,5,viewCart,OK
1354360709115,58,searchUser,OK
1354360709230,14,signInUser,OK
1354360709247,15,listCategories,OK
1354360709266,29,listMovieByCategory,OK
1354360709301,31,viewCart,OK
1354360701588,7845,searchMovie,OK
1354360709441,35,searchUser,OK
1354360709483,15,signInUser,OK
1354360709501,4,listCategories,OK
1354360709514,44,listMovieByCategory,OK
1354360709586,25,viewCart,OK
1354360702657,7056,searchMovie,OK
1354360702717,7015,searchMovie,OK
1354360709719,23,searchUser,OK
1354360709749,15,signInUser,OK
1354360709737,40,searchUser,OK
1354360709775,9,listCategories,OK
1354360709786,5,signInUser,OK
1354360709795,23,listMovieByCategory,OK
1354360709798,4,listCategories,OK
1354360709823,6,viewCart,OK
1354360709825,25,listMovieByCategory,OK
1354360709855,15,viewCart,OK
1354360702431,7572,searchMovie,OK
1354360710008,24,searchUser,OK
1354360710072,14,signInUser,OK
1354360710088,5,listCategories,OK
1354360710102,30,listMovieByCategory,OK
1354360710137,15,viewCart,OK
1354360705306,5966,searchMovie,OK
1354360711277,25,searchUser,OK
1354360711309,6,signInUser,OK
1354360711318,5,listCategories,OK
1354360711328,149,listMovieByCategory,OK
1354360711526,27,viewCart,OK
1354360709124,4262,searchMovie,OK
1354360713392,26,searchUser,OK
1354360713493,32,signInUser,OK
1354360713528,15,listCategories,OK
1354360713590,52,listMovieByCategory,OK
1354360713733,16,viewCart,OK
1354360704800,9470,searchMovie,OK
1354360714275,39,searchUser,OK
1354360714321,5,signInUser,OK
1354360714328,15,listCategories,OK
1354360714347,17,listMovieByCategory,OK
1354360714398,16,viewCart,OK
1354360710155,4763,searchMovie,OK
1354360714924,24,searchUser,OK
1354360715068,14,signInUser,OK
1354360715085,14,listCategories,OK
1354360715104,16,listMovieByCategory,OK
1354360715126,5,viewCart,OK
1354360709614,5924,searchMovie,OK
1354360715566,70,searchUser,OK
1354360715701,36,signInUser,OK
1354360709873,5864,searchMovie,OK
1354360715739,4,listCategories,OK
1354360715751,23,listMovieByCategory,OK
1354360715744,42,searchUser,OK
1354360715808,5,signInUser,OK
1354360715807,6,viewCart,OK
1354360715816,4,listCategories,OK
1354360715867,68,listMovieByCategory,OK
1354360715949,16,viewCart,OK
1354360706657,9898,searchMovie,OK
1354360711559,5226,searchMovie,OK
1354360716861,28,searchUser,OK
1354360716566,346,searchUser,OK
1354360716913,5,signInUser,OK
1354360716919,9,signInUser,OK
1354360716921,14,listCategories,OK
1354360716930,5,listCategories,OK
1354360716944,14,listMovieByCategory,OK
